BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Island Advantage Realty LLC,Foreclosure,750000,4,3.0,3098.0,3037 Richmond Rd,"Staten Island, NY 10306","3037 Richmond RdStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Richmond Road,"3037 Richmond Rd, Staten Island, NY 10306, USA",40.5758238,-74.1227343
Brokered by Empire Fine Homes,House for sale,899000,4,2.0,1400.0,35-13 103rd St,"Corona, NY 11368","35-13 103rd StCorona, NY 11368",New York,Queens County,Queens,Flushing,51-13,"51-13 103rd St #35, Flushing, NY 11368, USA",40.7421716,-73.8582741
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,5900000,3,4.0,3000.0,410 W 24th St # 18BCE,"New York, NY 10011","410 W 24th St # 18BCENew York, NY 10011",New York,New York County,New York,Manhattan,410,"410 W 24th St #18b, New York, NY 10011, USA",40.7472085,-74.0013378
Brokered by Corcoran East Side,Condo for sale,1695000,1,2.0,1072.0,70 Washington St Ph R,"Brooklyn, NY 11201","70 Washington St Ph RBrooklyn, NY 11201",United States,New York,Kings County,Brooklyn,Washington Street,"70 Washington St, Brooklyn, NY 11201, USA",40.7020349,-73.9899069
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1.0,750.0,875 Morrison Ave Apt 3M,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,The Bronx,East Bronx,Morrison Avenue,Parking lot,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892
Brokered by Brown Harris Stevens,Condo for sale,3795000,3,2.0,1887.0,30 Main St Ph B,"Brooklyn, NY 11201","30 Main St Ph BBrooklyn, NY 11201",United States,New York,Kings County,Brooklyn,Main Street,"30 Main St, Brooklyn, NY 11201, USA",40.702988,-73.9907803
Brokered by COMPASS,Condo for sale,2400000,2,2.0,1375.0,12 E 88th St Apt 9C,"Manhattan, NY 10128","12 E 88th St Apt 9CManhattan, NY 10128",New York,New York County,New York,Manhattan,12,"12 E 88th St Apartment 9d, New York, NY 10128, USA",40.782249,-73.958665
Brokered by American Homes Group,Multi-family home for sale,778000,4,3.0,2185.0,126 Elizabeth St,"Staten Island, NY 10310","126 Elizabeth StStaten Island, NY 10310",United States,New York,Richmond County,Staten Island,Elizabeth Street,"126 Elizabeth St, Staten Island, NY 10310, USA",40.6308436,-74.1204059
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,999000,8,3.0,3786.0,1118 Jackson Ave,"Bronx, NY 10456","1118 Jackson AveBronx, NY 10456",United States,New York,Bronx County,The Bronx,Jackson Avenue,"1118 Jackson Ave, Bronx, NY 10456, USA",40.8273908,-73.9031371
Brokered by COMPASS,Co-op for sale,789000,2,1.0,2184.207862,400 E 77th St Apt 4E,"Manhattan, NY 10075","400 E 77th St Apt 4EManhattan, NY 10075",New York,New York County,New York,Manhattan,400,"400 E 77th St #4a, New York, NY 10075, USA",40.7707244,-73.9533267
